cell_set_preferred_alias,original_label,cell_set_label,cell_set_accession,cell_set_aligned_alias,cell_set_additional_alias,cell_set_alias_assignee,cell_set_alias_citation,cell_set_structure,cell_set_ontology_tag,taxonomy_id,species,modality,child_cell_set_accessions
Inh LAMP5 KIT,Inh LAMP5 KIT,ATACseq 01,CS202002275_1,Lamp5,RNAseq 02-06 in CCN201912132,Blue Lake,10.1101/2020.03.31.016972,primary motor cortex,UBERON:0001384,CCN202002275,Marmoset,ATACseq,
Inh GAD1 THSD7B,Inh GAD1 THSD7B,ATACseq 02,CS202002275_2,Sncg,RNAseq 07-15 in CCN201912132,Blue Lake,10.1101/2020.03.31.016972,primary motor cortex,UBERON:0001384,CCN202002275,Marmoset,ATACseq,
Inh VIP LOC103791740,Inh VIP LOC103791740,ATACseq 03,CS202002275_3,Vip,RNAseq 16-26 in CCN201912132,Blue Lake,10.1101/2020.03.31.016972,primary motor cortex,UBERON:0001384,CCN202002275,Marmoset,ATACseq,
Inh SST ABI3BP,Inh SST ABI3BP,ATACseq 04,CS202002275_4,Sst,"RNAseq 01, 27-40, 47 in CCN201912132",Blue Lake,10.1101/2020.03.31.016972,primary motor cortex,UBERON:0001384,CCN202002275,Marmoset,ATACseq,
Inh PVALB MYO5B,Inh PVALB MYO5B,ATACseq 05,CS202002275_5,,"RNAseq 41-46, 48-51 in CCN201912132",Blue Lake,10.1101/2020.03.31.016972,primary motor cortex,UBERON:0001384,CCN202002275,Marmoset,ATACseq,
Inh PVALB FAM19A4,Inh PVALB FAM19A4,ATACseq 06,CS202002275_6,Chandelier,RNAseq 52 in CCN201912132,Blue Lake,10.1101/2020.03.31.016972,primary motor cortex,UBERON:0001384,CCN202002275,Marmoset,ATACseq,
Exc RORB NDST3,Exc RORB NDST3,ATACseq 07,CS202002275_7,,"RNAseq 53, 55-56 in CCN201912132",Blue Lake,10.1101/2020.03.31.016972,primary motor cortex,UBERON:0001384,CCN202002275,Marmoset,ATACseq,
Exc RORB LOC108588466,Exc RORB LOC108588466,ATACseq 08,CS202002275_8,,"RNAseq 54, 61 in CCN201912132",Blue Lake,10.1101/2020.03.31.016972,primary motor cortex,UBERON:0001384,CCN202002275,Marmoset,ATACseq,
Exc THEMIS HS3ST5,Exc THEMIS HS3ST5,ATACseq 09,CS202002275_9,L6 IT,RNAseq 58-60 in CCN201912132,Blue Lake,10.1101/2020.03.31.016972,primary motor cortex,UBERON:0001384,CCN202002275,Marmoset,ATACseq,
Exc RORB ANKRD27,Exc RORB ANKRD27,ATACseq 10,CS202002275_10,,RNAseq 62 in CCN201912132,Blue Lake,10.1101/2020.03.31.016972,primary motor cortex,UBERON:0001384,CCN202002275,Marmoset,ATACseq,
Exc RORB DCC,Exc RORB DCC,ATACseq 11,CS202002275_11,,"RNAseq 63, 65 in CCN201912132",Blue Lake,10.1101/2020.03.31.016972,primary motor cortex,UBERON:0001384,CCN202002275,Marmoset,ATACseq,
Exc RORB USH1C,Exc RORB USH1C,ATACseq 12,CS202002275_12,,RNAseq 64 in CCN201912132,Blue Lake,10.1101/2020.03.31.016972,primary motor cortex,UBERON:0001384,CCN202002275,Marmoset,ATACseq,
Exc RORB TLL1,Exc RORB TLL1,ATACseq 13,CS202002275_13,,RNAseq 66-67 in CCN201912132,Blue Lake,10.1101/2020.03.31.016972,primary motor cortex,UBERON:0001384,CCN202002275,Marmoset,ATACseq,
Exc RORB HACL1,Exc RORB HACL1,ATACseq 14,CS202002275_14,,RNAseq 68 in CCN201912132,Blue Lake,10.1101/2020.03.31.016972,primary motor cortex,UBERON:0001384,CCN202002275,Marmoset,ATACseq,
Exc FEZF2 PIEZO2,Exc FEZF2 PIEZO2,ATACseq 15,CS202002275_15,L5 ET,RNAseq 69-71 in CCN201912132,Blue Lake,10.1101/2020.03.31.016972,primary motor cortex,UBERON:0001384,CCN202002275,Marmoset,ATACseq,
Exc FEZF2 NRP1,Exc FEZF2 NRP1,ATACseq 16,CS202002275_16,L6 CT,RNAseq 72-73 in CCN201912132,Blue Lake,10.1101/2020.03.31.016972,primary motor cortex,UBERON:0001384,CCN202002275,Marmoset,ATACseq,
Exc FEZF2 ARSJ,Exc FEZF2 ARSJ,ATACseq 17,CS202002275_17,L6b,RNAseq 74 in CCN201912132,Blue Lake,10.1101/2020.03.31.016972,primary motor cortex,UBERON:0001384,CCN202002275,Marmoset,ATACseq,
Exc THEMIS NTNG2,Exc THEMIS NTNG2,ATACseq 18,CS202002275_18,L6 IT Car3,RNAseq 75 in CCN201912132,Blue Lake,10.1101/2020.03.31.016972,primary motor cortex,UBERON:0001384,CCN202002275,Marmoset,ATACseq,
Exc FEZF2 CRYM,Exc FEZF2 CRYM,ATACseq 19,CS202002275_19,L5/6 NP,RNAseq 76 in CCN201912132,Blue Lake,10.1101/2020.03.31.016972,primary motor cortex,UBERON:0001384,CCN202002275,Marmoset,ATACseq,
Oligo OPALIN ST18,Oligo OPALIN ST18,ATACseq 20,CS202002275_20,Oligodendrocyte,"RNAseq 77, 83-84 in CCN201912132",Blue Lake,10.1101/2020.03.31.016972,primary motor cortex,UBERON:0001384,CCN202002275,Marmoset,ATACseq,
OPC PDGFRA VCAN,OPC PDGFRA VCAN,ATACseq 21,CS202002275_21,OPC,RNAseq 78 in CCN201912132,Blue Lake,10.1101/2020.03.31.016972,primary motor cortex,UBERON:0001384,CCN202002275,Marmoset,ATACseq,
Astro RORB SLC1A2,Astro RORB SLC1A2,ATACseq 22,CS202002275_22,Astrocyte,RNAseq 79-82 in CCN201912132,Blue Lake,10.1101/2020.03.31.016972,primary motor cortex,UBERON:0001384,CCN202002275,Marmoset,ATACseq,
Glia SLC1A3 FLT1,Glia SLC1A3 FLT1,ATACseq 23,CS202002275_23,Non-neural,RNAseq 85-94 in CCN201912132,Blue Lake,10.1101/2020.03.31.016972,primary motor cortex,UBERON:0001384,CCN202002275,Marmoset,ATACseq,
Pvalb,Pvalb,ATACseq 05-06,CS202002275_24,Pvalb,,Blue Lake,10.1101/2020.03.31.016972,primary motor cortex,UBERON:0001384,CCN202002275,Marmoset,ATACseq,
L2/3 IT,L2/3 IT,ATACseq 07-08,CS202002275_25,L2/3 IT,,Blue Lake,10.1101/2020.03.31.016972,primary motor cortex,UBERON:0001384,CCN202002275,Marmoset,ATACseq,
L5 IT,L5 IT,ATACseq 10-14,CS202002275_26,L5 IT,,Blue Lake,10.1101/2020.03.31.016972,primary motor cortex,UBERON:0001384,CCN202002275,Marmoset,ATACseq,
Oligodendrocyte-OPC,Oligodendrocyte-OPC,ATACseq 20-21,CS202002275_27,Oligodendrocyte-OPC,,Blue Lake,10.1101/2020.03.31.016972,primary motor cortex,UBERON:0001384,CCN202002275,Marmoset,ATACseq,
Non-neuronal,Non-neuronal,ATACseq 20-22,CS202002275_28,Non-neuronal,,Blue Lake,10.1101/2020.03.31.016972,primary motor cortex,UBERON:0001384,CCN202002275,Marmoset,ATACseq,
Neuronal: GABAergic,Neuronal: GABAergic,ATACseq 01-06,CS202002275_29,Neuronal: GABAergic,,Blue Lake,10.1101/2020.03.31.016972,primary motor cortex,UBERON:0001384,CCN202002275,Marmoset,ATACseq,
