cell_set_preferred_alias,original_label,cell_set_label,cell_set_accession,cell_set_aligned_alias,cell_set_additional_alias,cell_set_alias_assignee,cell_set_alias_citation,cell_set_structure,cell_set_ontology_tag,taxonomy_id,species,modality,child_cell_set_accessions,cell_type_card
Lamp5 Ndnf,Lamp5 Ndnf,ATACseq 01,CS202002277_1,,RNAseq 001-005 in CCN202002013,Yang Li,PMID:34616066,primary motor cortex,UBERON:0001384,CCN202002277,Mouse,ATACseq,,No
Lamp5 Arhgdib,Lamp5 Arhgdib,ATACseq 02,CS202002277_2,,RNAseq 006 in CCN202002013,Yang Li,PMID:34616066,primary motor cortex,UBERON:0001384,CCN202002277,Mouse,ATACseq,,No
Lamp5 Slc35d3,Lamp5 Slc35d3,ATACseq 03,CS202002277_3,,RNAseq 007 in CCN202002013,Yang Li,PMID:34616066,primary motor cortex,UBERON:0001384,CCN202002277,Mouse,ATACseq,,No
Lamp5 Lhx6,Lamp5 Lhx6,ATACseq 04,CS202002277_4,Lamp5 Lhx6,RNAseq 008 in CCN202002013,Yang Li,PMID:34616066,primary motor cortex,UBERON:0001384,CCN202002277,Mouse,ATACseq,,No
Sncg,Sncg,ATACseq 05,CS202002277_5,Sncg,RNAseq 009-014 in CCN202002013,Yang Li,PMID:34616066,primary motor cortex,UBERON:0001384,CCN202002277,Mouse,ATACseq,,No
Vip Hcls1,Vip Hcls1,ATACseq 06,CS202002277_6,,RNAseq 015-018 in CCN202002013,Yang Li,PMID:34616066,primary motor cortex,UBERON:0001384,CCN202002277,Mouse,ATACseq,,No
Vip Lipg,Vip Lipg,ATACseq 07,CS202002277_7,,"RNAseq 019-020, 026-027 in CCN202002013",Yang Li,PMID:34616066,primary motor cortex,UBERON:0001384,CCN202002277,Mouse,ATACseq,,No
Vip Gcnt4,Vip Gcnt4,ATACseq 08,CS202002277_8,,RNAseq 021-022 in CCN202002013,Yang Li,PMID:34616066,primary motor cortex,UBERON:0001384,CCN202002277,Mouse,ATACseq,,No
Vip Chat,Vip Chat,ATACseq 09,CS202002277_9,,RNAseq 023-025 in CCN202002013,Yang Li,PMID:34616066,primary motor cortex,UBERON:0001384,CCN202002277,Mouse,ATACseq,,No
Sst Chodl,Sst Chodl,ATACseq 10,CS202002277_10,Sst Chodl,RNAseq 028 in CCN202002013,Yang Li,PMID:34616066,primary motor cortex,UBERON:0001384,CCN202002277,Mouse,ATACseq,,No
Sst Myh8,Sst Myh8,ATACseq 11,CS202002277_11,,RNAseq 029-033 in CCN202002013,Yang Li,PMID:34616066,primary motor cortex,UBERON:0001384,CCN202002277,Mouse,ATACseq,,No
Sst Man1a,Sst Man1a,ATACseq 12,CS202002277_12,,"RNAseq 034-035, 038-041 in CCN202002013",Yang Li,PMID:34616066,primary motor cortex,UBERON:0001384,CCN202002277,Mouse,ATACseq,,No
Sst Stk33,Sst Stk33,ATACseq 13,CS202002277_13,,"RNAseq 036-037, 042-047 in CCN202002013",Yang Li,PMID:34616066,primary motor cortex,UBERON:0001384,CCN202002277,Mouse,ATACseq,,No
Pvalb Ntf3,Pvalb Ntf3,ATACseq 14,CS202002277_14,,RNAseq 048-053 in CCN202002013,Yang Li,PMID:34616066,primary motor cortex,UBERON:0001384,CCN202002277,Mouse,ATACseq,,No
Pvalb Tac1,Pvalb Tac1,ATACseq 15,CS202002277_15,,RNAseq 054-055 in CCN202002013,Yang Li,PMID:34616066,primary motor cortex,UBERON:0001384,CCN202002277,Mouse,ATACseq,,No
Pvalb Vipr2,Pvalb Vipr2,ATACseq 16,CS202002277_16,Chandelier,RNAseq 056-057 in CCN202002013,Yang Li,PMID:34616066,primary motor cortex,UBERON:0001384,CCN202002277,Mouse,ATACseq,,No
L2/3_1,L2/3_1,ATACseq 17,CS202002277_17,L2/3 IT,RNAseq 058-060 in CCN202002013,Yang Li,PMID:34616066,primary motor cortex,UBERON:0001384,CCN202002277,Mouse,ATACseq,,No
L4,L4,ATACseq 18,CS202002277_18,L4/5 IT,RNAseq 061 in CCN202002013,Yang Li,PMID:34616066,primary motor cortex,UBERON:0001384,CCN202002277,Mouse,ATACseq,,No
L5 IT_1,L5 IT_1,ATACseq 19,CS202002277_19,,RNAseq 062 in CCN202002013,Yang Li,PMID:34616066,primary motor cortex,UBERON:0001384,CCN202002277,Mouse,ATACseq,,No
L5 IT_2,L5 IT_2,ATACseq 20,CS202002277_20,,RNAseq 063-065 in CCN202002013,Yang Li,PMID:34616066,primary motor cortex,UBERON:0001384,CCN202002277,Mouse,ATACseq,,No
L6 IT,L6 IT,ATACseq 21,CS202002277_21,L6 IT,RNAseq 066-068 in CCN202002013,Yang Li,PMID:34616066,primary motor cortex,UBERON:0001384,CCN202002277,Mouse,ATACseq,,No
L5 ET,L5 ET,ATACseq 22,CS202002277_22,L5 ET,RNAseq 070-073 in CCN202002013,Yang Li,PMID:34616066,primary motor cortex,UBERON:0001384,CCN202002277,Mouse,ATACseq,,No
L5/6 NP,L5/6 NP,ATACseq 23,CS202002277_23,L5/6 NP,"RNAseq 074, 086-088 in CCN202002013",Yang Li,PMID:34616066,primary motor cortex,UBERON:0001384,CCN202002277,Mouse,ATACseq,,No
L6 CT,L6 CT,ATACseq 24,CS202002277_24,L6 CT,RNAseq 075-081 in CCN202002013,Yang Li,PMID:34616066,primary motor cortex,UBERON:0001384,CCN202002277,Mouse,ATACseq,,No
OPC,OPC,ATACseq 25,CS202002277_25,OPC,RNAseq 091 in CCN202002013,Yang Li,PMID:34616066,primary motor cortex,UBERON:0001384,CCN202002277,Mouse,ATACseq,,No
Astro,Astro,ATACseq 26,CS202002277_26,Astrocyte,RNAseq 092-094 in CCN202002013,Yang Li,PMID:34616066,primary motor cortex,UBERON:0001384,CCN202002277,Mouse,ATACseq,,No
Oligo,Oligo,ATACseq 27,CS202002277_27,Oligodendrocyte,RNAseq 095-012 in CCN202002013,Yang Li,PMID:34616066,primary motor cortex,UBERON:0001384,CCN202002277,Mouse,ATACseq,,No
Endo,Endo,ATACseq 28,CS202002277_28,Endothelial,RNAseq 103 in CCN202002013,Yang Li,PMID:34616066,primary motor cortex,UBERON:0001384,CCN202002277,Mouse,ATACseq,,No
VLMC,VLMC,ATACseq 29,CS202002277_29,VLMC,RNAseq 104-110 in CCN202002013,Yang Li,PMID:34616066,primary motor cortex,UBERON:0001384,CCN202002277,Mouse,ATACseq,,No
SMC-Peri,SMC-Peri,ATACseq 30,CS202002277_30,,RNAseq 111-112 in CCN202002013|SMC+Pericyte,Yang Li,PMID:34616066,primary motor cortex,UBERON:0001384,CCN202002277,Mouse,ATACseq,,No
Micro-PVM,Micro-PVM,ATACseq 31,CS202002277_31,Microglia-PVM,RNAseq 113-116 in CCN202002013,Yang Li,PMID:34616066,primary motor cortex,UBERON:0001384,CCN202002277,Mouse,ATACseq,,No
Lamp5,Lamp5,ATACseq 01-03,CS202002277_32,Lamp5,,Yang Li,PMID:34616066,primary motor cortex,UBERON:0001384,CCN202002277,Mouse,ATACseq,CS202002277_1|CS202002277_2|CS202002277_3,No
Vip,Vip,ATACseq 06-09,CS202002277_33,Vip,,Yang Li,PMID:34616066,primary motor cortex,UBERON:0001384,CCN202002277,Mouse,ATACseq,CS202002277_6|CS202002277_7|CS202002277_8|CS202002277_9,No
Sst,Sst,ATACseq 11-13,CS202002277_34,Sst,,Yang Li,PMID:34616066,primary motor cortex,UBERON:0001384,CCN202002277,Mouse,ATACseq,CS202002277_11|CS202002277_12|CS202002277_13,No
