Taxonomy_node_ID	clusterName	Markers
CS201912131_149	GABAergic	
CS201912131_150	Glutamatergic	
CS201912131_151	Non-Neuronal	
CS201912131_142	Astro	
CS201912131_125	Endo L2-5 NOSTRIN SRGN	entrez:115677|entrez:5552
CS201912131_133	L2-3 IT	
CS201912131_138	L5 ET	
CS201912131_134	L5 IT	
CS201912131_139	L5-6 NP	
CS201912131_136	L6 CT	
CS201912131_97	Exc L5-6 THEMIS SMYD1	entrez:387357|entrez:150572
CS201912131_135	L6 IT	
CS201912131_137	L6b	
CS201912131_128	LAMP5	
CS201912131_132	PVALB	
CS201912131_129	SNCG	
CS201912131_40	Inh L1-6 SST NPY	entrez:6750|entrez:4852
CS201912131_131	SST	
CS201912131_130	VIP	
CS201912131_126	VLMC L1-5 PDGFRA COLEC12	entrez:5156|entrez:81035
CS201912131_127	Micro L1-6 TYROBP CD74	entrez:7305|entrez:972
CS201912131_140	Oligo	
CS201912131_123	Astro L1 FGFR3 SERPINI2	entrez:2261|entrez:5276
CS201912131_122	Astro L1-6 FGFR3 AQP1	entrez:2261|entrez:358
CS201912131_124	Astro L1-6 FGFR3 PLCG1	entrez:2261|entrez:5335
CS201912131_73	Exc L2 LAMP5 KCNG3	entrez:24141|entrez:170850
CS201912131_74	Exc L2 LINC00507 ATP7B	entrez:100862680|entrez:540
CS201912131_75	Exc L2 LINC00507 GLRA3	entrez:100862680|entrez:8001
CS201912131_77	Exc L2-3 LINC00507 DSG3	entrez:100862680|entrez:1830
CS201912131_80	Exc L2-3 RORB CCDC68	entrez:6096|entrez:80323
CS201912131_81	Exc L2-3 RORB PTPN3	entrez:6096|entrez:5774
CS201912131_76	Exc L2-3 RORB RTKN2	entrez:6096|entrez:219790
CS201912131_78	Exc L3 LAMP5 CARM1P1	entrez:24141|entrez:100130873
CS201912131_86	Exc L3 RORB OTOGL	entrez:6096|entrez:283310
CS201912131_82	Exc L3 THEMIS ENPEP	entrez:387357|entrez:2028
CS201912131_111	Exc L3-5 FEZF2 ASGR2	entrez:55079|entrez:433
CS201912131_112	Exc L3-5 FEZF2 LINC01107	entrez:55079|entrez:151171
CS201912131_84	Exc L3-5 RORB LAMA4	entrez:6096|entrez:3910
CS201912131_87	Exc L3-5 RORB LINC01202	entrez:6096|entrez:104326188
CS201912131_90	Exc L3-5 RORB LNX2	entrez:6096|entrez:222484
CS201912131_91	Exc L3-5 RORB RPRM	entrez:6096|entrez:56475
CS201912131_83	Exc L3-5 RORB TNNT2	entrez:6096|entrez:7139
CS201912131_110	Exc L5 FEZF2 CSN1S1	entrez:55079|entrez:1446
CS201912131_114	Exc L5 FEZF2 NREP-AS1	entrez:55079|entrez:100873948
CS201912131_113	Exc L5 FEZF2 PKD2L1	entrez:55079|entrez:9033
CS201912131_115	Exc L5 FEZF2 RNF144A-AS1	entrez:55079|entrez:386597
CS201912131_92	Exc L5 RORB MED8	entrez:6096|entrez:112950
CS201912131_93	Exc L5 THEMIS FGF10	entrez:387357|entrez:2255
CS201912131_99	Exc L5 THEMIS LINC01116	entrez:387357|entrez:375295
CS201912131_100	Exc L5 THEMIS RGPD6	entrez:387357|entrez:729540
CS201912131_88	Exc L5 THEMIS SLC22A18	entrez:387357|entrez:5003
CS201912131_85	Exc L5 THEMIS VILL	entrez:387357|entrez:50853
CS201912131_101	Exc L5-6 FEZF2 C9orf135-AS1	entrez:55079|entrez:494558
CS201912131_107	Exc L5-6 FEZF2 CFTR	entrez:55079|entrez:1080
CS201912131_102	Exc L5-6 FEZF2 FILIP1L	entrez:55079|entrez:11259
CS201912131_116	Exc L5-6 FEZF2 IFNG-AS1	entrez:55079|entrez:100885789
CS201912131_117	Exc L5-6 FEZF2 LPO	entrez:55079|entrez:4025
CS201912131_98	Exc L5-6 FEZF2 OR1L8	entrez:55079|entrez:138881
CS201912131_103	Exc L5-6 FEZF2 SH2D1B	entrez:55079|entrez:117157
CS201912131_89	Exc L5-6 THEMIS TNFAIP6	entrez:387357|entrez:7130
CS201912131_105	Exc L6 FEZF2 FFAR4	entrez:55079|entrez:338557
CS201912131_108	Exc L6 FEZF2 KLK7	entrez:55079|entrez:5650
CS201912131_104	Exc L6 FEZF2 PDYN	entrez:55079|entrez:5173
CS201912131_109	Exc L6 FEZF2 POGK	entrez:55079|entrez:57645
CS201912131_106	Exc L6 FEZF2 PROKR2	entrez:55079|entrez:128674
CS201912131_94	Exc L6 THEMIS LINC00343	entrez:387357|entrez:144920
CS201912131_95	Exc L6 THEMIS SLN	entrez:387357|entrez:6588
CS201912131_96	Exc L6 THEMIS SNTG2	entrez:387357|entrez:54221
CS201912131_14	Inh L1 LAMP5 BMP2	entrez:24141|entrez:650
CS201912131_15	Inh L1 LAMP5 NMBR	entrez:24141|entrez:4829
CS201912131_1	Inh L1 LAMP5 PVRL2	entrez:24141|entrez:5819
CS201912131_2	Inh L1 LAMP5 RAB11FIP1	entrez:24141|entrez:646080
CS201912131_9	Inh L1 PAX6 CHRFAM7A	entrez:5080|entrez:89832
CS201912131_8	Inh L1 PAX6 MIR101-1	entrez:5080|entrez:406893
CS201912131_16	Inh L1 PVALB SST ASIC4	entrez:6750|entrez:55515
CS201912131_18	Inh L1 SST DEFB108B	entrez:6750|entrez:245911
CS201912131_17	Inh L1 SST P4HA3	entrez:6750|entrez:283208
CS201912131_27	Inh L1 VIP KLHDC8B	entrez:7432|entrez:200942
CS201912131_66	Inh L1-2 PVALB CDK20	entrez:5816|entrez:23552
CS201912131_50	Inh L1-2 SST CCNJL	entrez:6750|entrez:79616
CS201912131_68	Inh L1-2 SST CLIC6	entrez:6750|entrez:54102
CS201912131_52	Inh L1-2 SST PRRT4	entrez:6750|entrez:401399
CS201912131_20	Inh L1-2 VIP EXPH5	entrez:7432|entrez:23086
CS201912131_12	Inh L1-2 VIP HTR3A	entrez:7432|entrez:3359
CS201912131_22	Inh L1-2 VIP PTGER3	entrez:7432|entrez:5733
CS201912131_23	Inh L1-2 VIP SCML4	entrez:7432|entrez:256380
CS201912131_13	Inh L1-2 VIP WNT4	entrez:7432|entrez:54361
CS201912131_51	Inh L1-3 SST FAM20A	entrez:6750|entrez:54757
CS201912131_19	Inh L1-3 VIP CBLN1	entrez:7432|entrez:869
CS201912131_25	Inh L1-3 VIP CHRNA2	entrez:7432|entrez:1135
CS201912131_24	Inh L1-3 VIP FNDC1	entrez:7432|entrez:84624
CS201912131_21	Inh L1-3 VIP HSPB6	entrez:7432|entrez:126393
CS201912131_32	Inh L1-5 VIP CD27-AS1	entrez:7432|entrez:678655
CS201912131_37	Inh L1-5 VIP LINC01013	entrez:7432|entrez:100507254
CS201912131_36	Inh L1-5 VIP PHLDB3	entrez:7432|entrez:653583
CS201912131_29	Inh L1-5 VIP SMOC1	entrez:7432|entrez:64093
CS201912131_3	Inh L1-6 LAMP5 AARD	entrez:24141|entrez:441376
CS201912131_5	Inh L1-6 LAMP5 CA1	entrez:24141|entrez:759
CS201912131_4	Inh L1-6 LAMP5 NES	entrez:24141|entrez:10763
CS201912131_72	Inh L1-6 PVALB COL15A1	entrez:5816|entrez:1306
