Taxonomy_node_ID	clusterName	Markers	Comment
CS201912132_116	GABAergic		
CS201912132_117	Glutamatergic		
CS201912132_118	Non-Neuronal		
CS201912132_106	Astro		
CS201912132_107	Endo		
CS201912132_100	L2-3 IT		
CS201912132_103	L5 ET		
CS201912132_101	L5 IT		
CS201912132_77	Exc FEZF2 CRYM	entrez:100403177|entrez:100388738	
CS201912132_104	L6 CT		
CS201912132_76	Exc THEMIS NTNG2	entrez:100403177|entrez:100405312	
CS201912132_102	L6 IT		
CS201912132_75	Exc FEZF2 ARSJ	entrez:100407617|entrez:100397592	
CS201912132_95	LAMP5		
CS201912132_26	Inh PAX6 MEIS2	entrez:100404923|entrez:100392593	
CS201912132_94	Micro TYROBP LOC103788313	entrez:100393633|entrez:103788313	LOC103788313 not in ensembl
CS201912132_105	Oligo		
CS201912132_99	PVALB		
CS201912132_108	Peri		
CS201912132_96	SNCG		
CS201912132_1	Inh SST NPY	entrez:100412902|entrez:100385471	
CS201912132_98	SST		
CS201912132_97	VIP		
CS201912132_109	VLMC		
CS201912132_79	Astro FGFR3 EPHB1	enterz:100409938|entrez:100399267	
CS201912132_82	Astro FGFR3 GFAP	enterz:100409938|entrez:100393644	
CS201912132_80	Astro FGFR3 NWD1	enterz:100409938|entrez:100895459	
CS201912132_81	Astro FGFR3 RCN2	enterz:100409938|entrez:100406707	
CS201912132_86	Endo NOSTRIN CXCL12	entrez:100405977|entrez:100402880	
CS201912132_85	Endo NOSTRIN IL1R1	entrez:100405977|entrez:100393945	
CS201912132_74	Exc FEZF2 NRP1	entrez:100407617|entrez:100394500	
CS201912132_72	Exc FEZF2 PDZRN4	entrez:100407617|entrez:100412026	
CS201912132_71	Exc FEZF2 PIEZO2	entrez:100407617|entrez:100388255	
CS201912132_73	Exc FEZF2 RGS4	entrez:100407617|entrez:100410777	
CS201912132_63	Exc RORB ACTA2	entrez:100405410|entrez:100396597	
CS201912132_62	Exc RORB ANKRD27	entrez:100405410|entrez:100402573	
CS201912132_58	Exc RORB CAV3	entrez:100405410|entrez:100405927	
CS201912132_67	Exc RORB CHGA	entrez:100405410|entrez:100396583	
