Taxonomy_node_ID	clusterName	Markers
CS201912132_116	GABAergic	entrez:100384964|entrez:100390697
CS201912132_117	Glutamatergic	entrez:100391227|entrez:100403874
CS201912132_118	Non-Neuronal	entrez:100396908|entrez:100396112
CS201912132_106	Astro	entrez:100386317|entrez:100400779
CS201912132_107	Endo	entrez:100410516|entrez:100403987
CS201912132_100	(Mouse L2/3 IT)-like	entrez:100410743|entrez:100389848
CS201912132_103	(Mouse L5 ET)-like	entrez:100393601|entrez:100388255
CS201912132_101	(Mouse L5 IT)-like	entrez:100401180|entrez:100397656|entrez:100405410
CS201912132_77	Exc FEZF2 CRYM	entrez:100411083|entrez:100413139
CS201912132_104	(Mouse L6 CT)-like	entrez:100410860|entrez:100411439
CS201912132_76	Exc THEMIS NTNG2	entrez:100405312|entrez:100408417
CS201912132_102	(Mouse L6 IT)-like	entrez:100388051|entrez:100402689|entrez:100405584|entrez:100385404
CS201912132_75	Exc FEZF2 ARSJ	entrez:100397592|entrez:100410965
CS201912132_95	(Mouse Lamp5)-like	entrez:100411615
CS201912132_26	Inh PAX6 MEIS2	entrez:100391273
CS201912132_94	Micro TYROBP LOC103788313	entrez:100411367|entrez:103788313
CS201912132_105	Oligo	entrez:100410888
CS201912132_99	(Mouse Pvalb)-like	entrez:100408669|entrez:100392984
CS201912132_108	Peri	entrez:100410597|entrez:100405319
CS201912132_96	(Mouse Sncg)-like	entrez:100402719|entrez:100393865|entrez:100414317
CS201912132_119	Sst Chodl(i)	entrez:100402683|entrez:100895717
CS201912132_98	(Mouse Sst)-like	entrez:100393956|entrez:100402133
CS201912132_97	(Mouse Vip)-like	entrez:103791740|entrez:108588071
CS201912132_109	VLMC	entrez:100399056
CS201912132_79	Astro FGFR3 EPHB1	entrez:100395775|entrez:100413173|entrez:100415632
CS201912132_82	Astro FGFR3 GFAP	entrez:100393644
CS201912132_80	Astro FGFR3 NWD1	entrez:100386317|entrez:100406856|entrez:108587679|entrez:100895459|entrez:100391501
CS201912132_81	Astro FGFR3 RCN2	entrez:100397724|entrez:100386317|entrez:100392165|entrez:100413173
CS201912132_86	Endo NOSTRIN CXCL12	entrez:100403987|entrez:100414003
CS201912132_85	Endo NOSTRIN IL1R1	entrez:100404865|entrez:100393945
