Taxonomy_node_ID	clusterName	Markers
CS201912132_116	GABAergic	
CS201912132_117	Glutamatergic	
CS201912132_118	Non-Neuronal	ensembl:ENSCJAG00000009211|ensembl:ENSCJAG00000014208
CS201912132_106	Astro	
CS201912132_107	Endo	
CS201912132_100	L2-3 IT	ensembl:ENSCJAG00000020745
CS201912132_103	L5 ET	ensembl:ENSCJAG00000004648|ensembl:ENSCJAG00000019242
CS201912132_101	L5 IT	ensembl:ENSCJAG00000001216|ensembl:ENSCJAG00000007618|ensembl:ENSCJAG00000060527
CS201912132_77	L5-6 NP	ensembl:ENSCJAG00000012782|ensembl:ENSCJAG00000020212
CS201912132_104	L6 CT	ensembl:ENSCJAG00000003462|ensembl:ENSCJAG00000020752
CS201912132_76	L6 IT CAr3	ensembl:ENSCJAG00000010031|ensembl:ENSCJAG00000018288
CS201912132_102	L6 IT	ensembl:ENSCJAG00000002137|ensembl:ENSCJAG00000008164|ensembl:ENSCJAG00000015563|ensembl:ENSCJAG00000066508
CS201912132_75	L6b	ensembl:ENSCJAG00000003475|ensembl:ENSCJAG00000018572
CS201912132_95	LAMP5	ensembl:ENSCJAG00000018396
CS201912132_26	MEIS2	ensembl:ENSCJAG00000007020
CS201912132_94	Micro-PVM	
CS201912132_105	Oligo	
CS201912132_99	PVALB	ensembl:ENSCJAG00000015118
CS201912132_108	Peri	
CS201912132_96	SNCG	ensembl:ENSCJAG00000000775|ensembl:ENSCJAG00000006364|ensembl:ENSCJAG00000008412
CS201912132_1	SST CHODL	ensembl:ENSCJAG00000003437|ensembl:ENSCJAG00000009419
CS201912132_98	SST	ensembl:ENSCJAG00000000533|ensembl:ENSCJAG00000000746
CS201912132_97	VIP	
CS201912132_109	VLMC	
CS201912132_79	Astro FGFR3 EPHB1	ensembl:ENSCJAG00000002971|ensembl:ENSCJAG00000009589|ensembl:ENSCJAG00000016009
CS201912132_82	Astro FGFR3 GFAP	ensembl:ENSCJAG00000012563
CS201912132_80	Astro FGFR3 NWD1	ensembl:ENSCJAG00000009420|ensembl:ENSCJAG00000010952
