Taxonomy_node_ID	clusterName	Markers Delimited
CS202002013_123	GABAergic	ensembl:ENSMUSG00000070880|ensembl:ENSMUSG00000098326
CS202002013_179	Glutamatergic	ensembl:ENSMUSG00000053025|ensembl:ENSMUSG00000032503
CS202002013_235	Non/Neuronal	ensembl:ENSMUSG00000062078
CS202002013_210	Astro	ensembl:ENSMUSG00000021318|ensembl:ENSMUSG00000036949
CS202002013_103	Endo	ensembl:ENSMUSG00000039167|ensembl:ENSMUSG00000030237
CS202002013_183	L2/3 IT	ensembl:ENSMUSG00000028222ensembl:ENSMUSG00000021708
CS202002013_193	L5 ET	ensembl:ENSMUSG00000098760|ensembl:ENSMUSG00000022206
CS202002013_189	L5 IT	ensembl:ENSMUSG00000040452|ensembl:ENSMUSG00000035357|ensembl:ENSMUSG00000039037
CS202002013_207	L5/6 NP	ensembl:ENSMUSG00000004151|ensembl:ENSMUSG00000047907
CS202002013_197	L6 CT	ensembl:ENSMUSG00000029563|ensembl:ENSMUSG00000078591
CS202002013_192	L6 IT	ensembl:ENSMUSG00000052430|ensembl:ENSMUSG00000059203|ensembl:ENSMUSG00000016918
CS202002013_203	L6b	ensembl:ENSMUSG00000039714|ensembl:ENSMUSG00000019997
CS202002013_125	Lamp5	ensembl:ENSMUSG00000029819|ensembl:ENSMUSG00000075270
CS202002013_209	Meis2	ensembl:ENSMUSG00000035551|ensembl:ENSMUSG00000023800
CS202002013_229	Micro/PVM	ensembl:ENSMUSG00000026288
CS202002013_212	Oligo	ensembl:ENSMUSG00000056966
CS202002013_233	Pvalb	ensembl:ENSMUSG00000031772|ensembl:ENSMUSG00000005716
CS202002013_133	Sncg	ensembl:ENSMUSG00000044288|ensembl:ENSMUSG00000058897
CS202002013_232	Sst	ensembl:ENSMUSG00000042453|ensembl:ENSMUSG00000004366
CS202002013_222	VLMC	ensembl:ENSMUSG00000017897|ensembl:ENSMUSG00000078302
CS202002013_138	Vip	ensembl:ENSMUSG00000019772
CS202002013_93	Astro Aqp4_Gfap	ensembl:ENSMUSG00000026697
CS202002013_94	Astro Aqp4_Slc7a10	ensembl:ENSMUSG00000025537|ensembl:ENSMUSG00000030235
CS202002013_92	Astro_Top2a	ensembl:ENSMUSG00000042489|ensembl:ENSMUSG00000098318
CS202002013_58	L2/3 IT_1	ensembl:ENSMUSG00000098097|ensembl:ENSMUSG00000036545|ensembl:ENSMUSG00000009376
CS202002013_59	L2/3 IT_2	ensembl:ENSMUSG00000026676|ensembl:ENSMUSG00000029705|ensembl:ENSMUSG00000027210|ensembl:ENSMUSG00000062372
CS202002013_60	L2/3 IT_3	ensembl:ENSMUSG00000042589|ensembl:ENSMUSG00000056427|ensembl:ENSMUSG00000031216
CS202002013_70	L5 ET_1	ensembl:ENSMUSG00000030905|ensembl:ENSMUSG00000098760|ensembl:ENSMUSG00000022206
CS202002013_71	L5 ET_2	ensembl:ENSMUSG00000040732|ensembl:ENSMUSG00000022112|ensembl:ENSMUSG00000021541
