defined_class	prefLabel	Curated_synonyms	Classification	Classification_comment	Classification_pub	Expresses	Expresses_comment	Expresses_pub	Projection_type	Layers	Cross_species_text	Comment
http://purl.obolibrary.org/obo/PCL_0015001	Inh L1 LAMP5 PVRL2					entrez:24141|entrez:5819		PMID:34616066		UBERON:0005390	This class represents a cross-species homology grouping.	Cross-species clustering based on transcriptomic similarity supports the assertion that this class represents a homology grouping.
http://purl.obolibrary.org/obo/PCL_0015002	Inh L1 LAMP5 RAB11FIP1					entrez:24141|entrez:646080		PMID:34616066		UBERON:0005390		
http://purl.obolibrary.org/obo/PCL_0015003	Inh L1-6 LAMP5 AARD					entrez:24141|entrez:441376		PMID:34616066				
http://purl.obolibrary.org/obo/PCL_0015004	Inh L1-6 LAMP5 NES					entrez:24141|entrez:10763		PMID:34616066				
http://purl.obolibrary.org/obo/PCL_0015005	Inh L1-6 LAMP5 CA1					entrez:24141|entrez:759		PMID:34616066				
http://purl.obolibrary.org/obo/PCL_0015006	Inh L5-6 LAMP5 CRABP1					entrez:24141|entrez:1381		PMID:34616066				
http://purl.obolibrary.org/obo/PCL_0015007	Inh L3-6 PAX6 LINC01497					entrez:5080|entrez:102723487		PMID:34616066				
http://purl.obolibrary.org/obo/PCL_0015008	Inh L1 PAX6 MIR101-1					entrez:5080|entrez:406893		PMID:34616066		UBERON:0005390		
http://purl.obolibrary.org/obo/PCL_0015009	Inh L1 PAX6 CHRFAM7A					entrez:5080|entrez:89832		PMID:34616066		UBERON:0005390		
http://purl.obolibrary.org/obo/PCL_0015010	Inh L1-6 VIP SLC7A6OS					entrez:7432|entrez:84138		PMID:34616066				
http://purl.obolibrary.org/obo/PCL_0015011	Inh L2 PAX6 FREM2					entrez:5080|entrez:341640		PMID:34616066		UBERON:0005391	This class represents a cross-species homology grouping.	Cross-species clustering based on transcriptomic similarity supports the assertion that this class represents a homology grouping.
http://purl.obolibrary.org/obo/PCL_0015012	Inh L1-2 VIP HTR3A					entrez:7432|entrez:3359		PMID:34616066				
http://purl.obolibrary.org/obo/PCL_0015013	Inh L1-2 VIP WNT4					entrez:7432|entrez:54361		PMID:34616066				
http://purl.obolibrary.org/obo/PCL_0015014	Inh L1 LAMP5 BMP2					entrez:24141|entrez:650		PMID:34616066		UBERON:0005390		
http://purl.obolibrary.org/obo/PCL_0015015	Inh L1 LAMP5 NMBR					entrez:24141|entrez:4829		PMID:34616066		UBERON:0005390		
http://purl.obolibrary.org/obo/PCL_0015016	Inh L1 PVALB-like SST ASIC4					entrez:6750|entrez:55515	PVALB not expressed higher than background	PMID:34616066		UBERON:0005390		
http://purl.obolibrary.org/obo/PCL_0015017	Inh L1 SST P4HA3					entrez:6750|entrez:283208		PMID:34616066		UBERON:0005390		
http://purl.obolibrary.org/obo/PCL_0015018	Inh L1 SST DEFB108B					entrez:6750|entrez:245911		PMID:34616066		UBERON:0005390		
http://purl.obolibrary.org/obo/PCL_0015019	Inh L1-3 VIP CBLN1					entrez:7432|entrez:869		PMID:34616066				
http://purl.obolibrary.org/obo/PCL_0015020	Inh L1-2 VIP EXPH5					entrez:7432|entrez:23086		PMID:34616066				
http://purl.obolibrary.org/obo/PCL_0015021	Inh L1-3 VIP HSPB6					entrez:7432|entrez:126393		PMID:34616066				
http://purl.obolibrary.org/obo/PCL_0015022	Inh L1-2 VIP PTGER3					entrez:7432|entrez:5733		PMID:34616066				
http://purl.obolibrary.org/obo/PCL_0015023	Inh L1-2 VIP SCML4					entrez:7432|entrez:256380		PMID:34616066				
http://purl.obolibrary.org/obo/PCL_0015024	Inh L1-3 VIP FNDC1					entrez:7432|entrez:84624		PMID:34616066				
http://purl.obolibrary.org/obo/PCL_0015025	Inh L1-3 VIP CHRNA2					entrez:7432|entrez:1135		PMID:34616066				
http://purl.obolibrary.org/obo/PCL_0015026	Inh L2 VIP SLC6A16					entrez:7432|entrez:28968		PMID:34616066		UBERON:0005391		
http://purl.obolibrary.org/obo/PCL_0015027	Inh L1 VIP KLHDC8B					entrez:7432|entrez:200942		PMID:34616066		UBERON:0005390		
http://purl.obolibrary.org/obo/PCL_0015028	Inh L3-5 VIP IGDCC3					entrez:7432|entrez:9543		PMID:34616066				
http://purl.obolibrary.org/obo/PCL_0015029	Inh L1-5 VIP SMOC1					entrez:7432|entrez:64093		PMID:34616066				
http://purl.obolibrary.org/obo/PCL_0015030	Inh L3-5 VIP HS3ST3A1					entrez:7432|entrez:9955		PMID:34616066				
http://purl.obolibrary.org/obo/PCL_0015031	Inh L5-6 VIP COL4A3					entrez:7432|entrez:1285		PMID:34616066				
http://purl.obolibrary.org/obo/PCL_0015032	Inh L1-5 VIP CD27-AS1					entrez:7432|entrez:678655		PMID:34616066				
http://purl.obolibrary.org/obo/PCL_0015033	Inh L2-5 VIP BSPRY					entrez:7432|entrez:54836		PMID:34616066				
http://purl.obolibrary.org/obo/PCL_0015034	Inh L2-5 VIP SOX11					entrez:7432|entrez:6664		PMID:34616066				
http://purl.obolibrary.org/obo/PCL_0015035	Inh L3-6 VIP ZIM2-AS1					entrez:7432|entrez:101929059		PMID:34616066				
http://purl.obolibrary.org/obo/PCL_0015036	Inh L1-5 VIP PHLDB3					entrez:7432|entrez:653583		PMID:34616066				
http://purl.obolibrary.org/obo/PCL_0015037	Inh L1-5 VIP LINC01013					entrez:7432|entrez:100507254		PMID:34616066				
http://purl.obolibrary.org/obo/PCL_0015038	Inh L3-6 VIP UG0898H09					entrez:7432|entrez:643763		PMID:34616066				
http://purl.obolibrary.org/obo/PCL_0015039	Inh L3-5 VIP TAC3					entrez:7432|entrez:6866		PMID:34616066				
http://purl.obolibrary.org/obo/PCL_0015040	Inh L1-6 SST NPY		CL:4023121		PMID:34616066	entrez:6750|entrez:4852		PMID:34616066			This class represents a cross-species homology grouping.	Cross-species clustering based on transcriptomic similarity supports the assertion that this class represents a homology grouping.
http://purl.obolibrary.org/obo/PCL_0015041	Inh L3-5 SST CDH3					entrez:6750|entrez:1001		PMID:34616066				
http://purl.obolibrary.org/obo/PCL_0015042	Inh L5 SST RPL35AP11					entrez:6750|entrez:100271314		PMID:34616066		UBERON:0005394		
http://purl.obolibrary.org/obo/PCL_0015043	Inh L5-6 SST ISX					entrez:6750|entrez:91464		PMID:34616066				
http://purl.obolibrary.org/obo/PCL_0015044	Inh L5-6 PVALB SST CRHR2					entrez:5816|entrez:6750|entrez:1395		PMID:34616066				
http://purl.obolibrary.org/obo/PCL_0015045	Inh L3-5 SST OR5AH1P					entrez:6750|entrez:79336		PMID:34616066				
http://purl.obolibrary.org/obo/PCL_0015046	Inh L3-5 SST GGTLC3					entrez:6750|entrez:728226		PMID:34616066				
http://purl.obolibrary.org/obo/PCL_0015047	Inh L2-3 SST NMU					entrez:6750|entrez:10874		PMID:34616066				
http://purl.obolibrary.org/obo/PCL_0015048	Inh L5-6 SST PAWR					entrez:6750|entrez:5074		PMID:34616066				
http://purl.obolibrary.org/obo/PCL_0015049	Inh L5-6 SST PIK3CD					entrez:6750|entrez:5293		PMID:34616066				
http://purl.obolibrary.org/obo/PCL_0015050	Inh L1-2 SST CCNJL					entrez:6750|entrez:79616		PMID:34616066				
http://purl.obolibrary.org/obo/PCL_0015051	Inh L1-3 SST FAM20A					entrez:6750|entrez:54757		PMID:34616066				
http://purl.obolibrary.org/obo/PCL_0015052	Inh L1-2 SST PRRT4					entrez:6750|entrez:401399		PMID:34616066				
http://purl.obolibrary.org/obo/PCL_0015053	Inh L5-6 SST BEAN1					entrez:6750|entrez:146227		PMID:34616066				
http://purl.obolibrary.org/obo/PCL_0015054	Inh L5-6 SST DNAJC14					entrez:6750|entrez:85406		PMID:34616066				
http://purl.obolibrary.org/obo/PCL_0015055	Inh L5-6 SST C4orf26					entrez:6750|entrez:152816		PMID:34616066				
http://purl.obolibrary.org/obo/PCL_0015056	Inh L5-6 SST FBN2					entrez:6750|entrez:2201		PMID:34616066				
http://purl.obolibrary.org/obo/PCL_0015057	Inh L5-6 SST KLHL1					entrez:6750|entrez:57626		PMID:34616066				
