defined_class	homologous_to	homology_similarity_score
http://purl.obolibrary.org/obo/PCL_0019001	http://purl.obolibrary.org/obo/PCL_0011028	0.936143691112208
http://purl.obolibrary.org/obo/PCL_0019001	http://purl.obolibrary.org/obo/PCL_0015040	0.92886750459538
http://purl.obolibrary.org/obo/PCL_0019002	http://purl.obolibrary.org/obo/PCL_0015157	
http://purl.obolibrary.org/obo/PCL_0019003	http://purl.obolibrary.org/obo/PCL_0011005	0.867737633917582
http://purl.obolibrary.org/obo/PCL_0019003	http://purl.obolibrary.org/obo/PCL_0015001	0.990223808970747
http://purl.obolibrary.org/obo/PCL_0019004	http://purl.obolibrary.org/obo/PCL_0011008	0.946761338897252
http://purl.obolibrary.org/obo/PCL_0019004	http://purl.obolibrary.org/obo/PCL_0015153	
http://purl.obolibrary.org/obo/PCL_0019007	http://purl.obolibrary.org/obo/PCL_0011001	0.95550125273093
http://purl.obolibrary.org/obo/PCL_0019007	http://purl.obolibrary.org/obo/PCL_0015154	
http://purl.obolibrary.org/obo/PCL_0019008	http://purl.obolibrary.org/obo/PCL_0011134	
http://purl.obolibrary.org/obo/PCL_0019008	http://purl.obolibrary.org/obo/PCL_0015011	0.794841024760952
http://purl.obolibrary.org/obo/PCL_0019026	http://purl.obolibrary.org/obo/PCL_0011209	
http://purl.obolibrary.org/obo/PCL_0019027	http://purl.obolibrary.org/obo/PCL_0011042	0.873045150365395
http://purl.obolibrary.org/obo/PCL_0019027	http://purl.obolibrary.org/obo/PCL_0015167	
http://purl.obolibrary.org/obo/PCL_0019028	http://purl.obolibrary.org/obo/PCL_0011246	
http://purl.obolibrary.org/obo/PCL_0019028	http://purl.obolibrary.org/obo/PCL_0015168	
http://purl.obolibrary.org/obo/PCL_0019029	http://purl.obolibrary.org/obo/PCL_0011047	0.840451290780206
http://purl.obolibrary.org/obo/PCL_0019029	http://purl.obolibrary.org/obo/PCL_0015058	0.906074632488197
http://purl.obolibrary.org/obo/PCL_0019037	http://purl.obolibrary.org/obo/PCL_0011037	0.925150218270558
http://purl.obolibrary.org/obo/PCL_0019037	http://purl.obolibrary.org/obo/PCL_0015166	
http://purl.obolibrary.org/obo/PCL_0019038	http://purl.obolibrary.org/obo/PCL_0011156	
http://purl.obolibrary.org/obo/PCL_0019038	http://purl.obolibrary.org/obo/PCL_0015163	
http://purl.obolibrary.org/obo/PCL_0019039	http://purl.obolibrary.org/obo/PCL_0011244	
http://purl.obolibrary.org/obo/PCL_0019039	http://purl.obolibrary.org/obo/PCL_0015164	
http://purl.obolibrary.org/obo/PCL_0019051	http://purl.obolibrary.org/obo/PCL_0011248	
http://purl.obolibrary.org/obo/PCL_0019051	http://purl.obolibrary.org/obo/PCL_0015170	
http://purl.obolibrary.org/obo/PCL_0019052	http://purl.obolibrary.org/obo/PCL_0011178	
http://purl.obolibrary.org/obo/PCL_0019052	http://purl.obolibrary.org/obo/PCL_0015072	0.978267720056844
http://purl.obolibrary.org/obo/PCL_0019059	http://purl.obolibrary.org/obo/PCL_0011250	
http://purl.obolibrary.org/obo/PCL_0019059	http://purl.obolibrary.org/obo/PCL_0015174	
http://purl.obolibrary.org/obo/PCL_0019060	http://purl.obolibrary.org/obo/PCL_0011067	0.918675690651135
http://purl.obolibrary.org/obo/PCL_0019060	http://purl.obolibrary.org/obo/PCL_0015176	
http://purl.obolibrary.org/obo/PCL_0019065	http://purl.obolibrary.org/obo/PCL_0011074	0.65098741046647
http://purl.obolibrary.org/obo/PCL_0019065	http://purl.obolibrary.org/obo/PCL_0015175	
http://purl.obolibrary.org/obo/PCL_0019072	http://purl.obolibrary.org/obo/PCL_0011071	0.769206844911403
http://purl.obolibrary.org/obo/PCL_0019072	http://purl.obolibrary.org/obo/PCL_0015112	0.611956330825868
http://purl.obolibrary.org/obo/PCL_0019073	http://purl.obolibrary.org/obo/PCL_0011252	
http://purl.obolibrary.org/obo/PCL_0019073	http://purl.obolibrary.org/obo/PCL_0015177	
http://purl.obolibrary.org/obo/PCL_0019074	http://purl.obolibrary.org/obo/PCL_0011076	0.880917664086244
http://purl.obolibrary.org/obo/PCL_0019074	http://purl.obolibrary.org/obo/PCL_0015101	0.979153205232323
http://purl.obolibrary.org/obo/PCL_0019075	http://purl.obolibrary.org/obo/PCL_0011203	
http://purl.obolibrary.org/obo/PCL_0019075	http://purl.obolibrary.org/obo/PCL_0015137	
http://purl.obolibrary.org/obo/PCL_0019076	http://purl.obolibrary.org/obo/PCL_0011069	0.910383827550408
