defined_class	cross_species_classes
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_1	http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002270_7
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_2	http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002270_9
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_5	http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002270_1
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_8	http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002270_4
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_28	http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002270_14
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_37	http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002270_17
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_42	http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002270_19
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_47	http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002270_21
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_67	http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002270_26
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_69	http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002270_31
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_71	http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002270_33
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_74	http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002270_30
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_76	http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002270_35
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_91	http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002270_38
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_99	http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002270_41
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_103	http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002270_43
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_124	http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002270_57
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_128	http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002270_2
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_134	http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002270_6
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_149	http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002270_13
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_150	http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002270_58
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_156	http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002270_15
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_178	http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002270_24
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_182	http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002270_59
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_183	http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002270_25
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_190	http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002270_29
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_193	http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002270_53
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_203	http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002270_36
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_207	http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002270_37
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_211	http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002270_39
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_234	http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002270_60
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_238	http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002270_3
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_239	http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002270_8
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_240	http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002270_5
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_241	http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002270_12
