defined_class	Classification
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_91	CL:0000125
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_92	CL:0000125
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_93	CL:0000125
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_94	CL:0000125
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_95	CL:0000125
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_96	CL:0000125
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_97	CL:0000125
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_98	CL:0000125
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_99	CL:0000125
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_100	CL:0000125
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_101	CL:0000125
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_102	CL:0000125
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_114	CL:0000881
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_115	CL:0000881
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_116	CL:0000881
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_30	CL:4023027
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_31	CL:4023027
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_32	CL:4023027
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_34	CL:4023027
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_35	CL:4023027
