defined_class	prefLabel	Curated_synonyms	Classification	Classification_comment	Classification_pub	Expresses	Expresses_comment	Expresses_pub	Projection_type	Layers
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002270_1	Lamp5_1									
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002270_2	Lamp5_5									
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002270_3	Lamp5_2									
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002270_4	Lamp5_3									
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002270_5	Sncg_1									
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002270_6	Sncg_2									
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002270_7	Lamp5_4									
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002270_8	Sncg_3									
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002270_9	Sncg_4									
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002270_10	Vip_1									
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002270_11	Vip_2									
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002270_12	Vip_3									
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002270_13	Vip_4									
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002270_14	Sst Chodl									
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002270_15	Sst_1									
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002270_16	Sst_2									
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002270_17	Sst_4									
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002270_18	Sst_3									
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002270_19	Sst_5									
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002270_20	Sst_6									
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002270_21	Sst_7									
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002270_22	Pvalb_1									
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002270_23	Pvalb_2									
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002270_24	Chandelier									
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002270_25	L2/3 IT									
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002270_26	L6 IT_1									
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002270_27	L6 IT_2									
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002270_28	L5 IT_1									
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002270_29	L5 IT_2									
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002270_30	L5 IT_3									
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002270_31	L6 IT_3									
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002270_32	L5 ET_1									
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002270_33	L5 ET_2									
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002270_34	L6 CT_1									
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002270_35	L6 CT_2									
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002270_36	L6b									
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002270_37	L5/6 NP									
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002270_38	OPC									
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002270_39	Astro_1									
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002270_40	Astro_2									
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002270_41	Oligo_1									
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002270_42	Oligo_2									
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002270_43	Endo									
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002270_44	VLMC									
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002270_45	Microglia/PVM									
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002270_53	L5 ET									
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002270_57	CGE/PoA									
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002270_58	MGE									
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002270_59	IT projecting									
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002270_60	Non-IT projecting									
