defined_class	gross_cell_type	taxon	brain_region	denorm_marker_list	minimal_marker_list
AllenDend:CS202002013_117		CCN202002013	UBERON:0001384		
AllenDend:CS202002013_118		CCN202002013	UBERON:0001384		
AllenDend:CS202002013_119		CCN202002013	UBERON:0001384		
AllenDend:CS202002013_120		CCN202002013	UBERON:0001384		
AllenDend:CS202002013_121		CCN202002013	UBERON:0001384		
AllenDend:CS202002013_122		CCN202002013	UBERON:0001384		
AllenDend:CS202002013_123	CL:0011005	CCN202002013	UBERON:0001384		Gad1,Dlx6os1
AllenDend:CS202002013_124	CL:0011005	CCN202002013	UBERON:0001384		
AllenDend:CS202002013_125	CL:0011005	CCN202002013	UBERON:0001384	Npy,Pde11a	Npy,Pde11a
AllenDend:CS202002013_126	CL:0011005	CCN202002013	UBERON:0001384		
AllenDend:CS202002013_1	CL:0011005	CCN202002013	UBERON:0001384	Pip5k1b,Pde11a,Npy,Pax6	Pax6,Pip5k1b
AllenDend:CS202002013_127	CL:0011005	CCN202002013	UBERON:0001384		
AllenDend:CS202002013_2	CL:0011005	CCN202002013	UBERON:0001384	Npy,Pde11a,Chrna7,Tafa1,Fbn2	
AllenDend:CS202002013_128	CL:0011005	CCN202002013	UBERON:0001384		
AllenDend:CS202002013_3	CL:0011005	CCN202002013	UBERON:0001384	Crim1,Pde11a,Zfp804b,Npy	Crim1,Zfp804b
AllenDend:CS202002013_4	CL:0011005	CCN202002013	UBERON:0001384	Npy,Cxcl14,Reln,Ntn1,Pde11a	Cxcl14,Ntn1,Reln
AllenDend:CS202002013_129	CL:0011005	CCN202002013	UBERON:0001384		
AllenDend:CS202002013_130	CL:0011005	CCN202002013	UBERON:0001384		
AllenDend:CS202002013_131	CL:0011005	CCN202002013	UBERON:0001384		
AllenDend:CS202002013_5	CL:0011005	CCN202002013	UBERON:0001384	Npy,Dock5,Ndnf,Ndst4,Pde11a	Dock5,Ndnf,Ndst4
AllenDend:CS202002013_6	CL:0011005	CCN202002013	UBERON:0001384	Ndnf,Npy,Pde11a	Ndnf,Pde11a
AllenDend:CS202002013_7	CL:0011005	CCN202002013	UBERON:0001384	Sema5a,Alk,Pde11a,Npy	Alk,Sema5a
AllenDend:CS202002013_8	CL:0011005	CCN202002013	UBERON:0001384	Npy,Gm45680,Pde11a,Nos1	Gm45680,Nos1
AllenDend:CS202002013_132	CL:0011005	CCN202002013	UBERON:0001384		
AllenDend:CS202002013_133	CL:0011005	CCN202002013	UBERON:0001384	Col25a1,Cnr1	Cnr1,Col25a1
AllenDend:CS202002013_134	CL:0011005	CCN202002013	UBERON:0001384		
AllenDend:CS202002013_9	CL:0011005	CCN202002013	UBERON:0001384	Col25a1,Cnr1,Cdh6,Eps8	Cdh6,Col25a1,Eps8
AllenDend:CS202002013_10	CL:0011005	CCN202002013	UBERON:0001384	Slc17a8,Yjefn3,Cnr1,Col25a1	Slc17a8,Yjefn3
AllenDend:CS202002013_135	CL:0011005	CCN202002013	UBERON:0001384		
AllenDend:CS202002013_136	CL:0011005	CCN202002013	UBERON:0001384		
AllenDend:CS202002013_11	CL:0011005	CCN202002013	UBERON:0001384	Krt73,Col25a1,Cnr1,Sln,Syt6	Krt73,Sln,Syt6
AllenDend:CS202002013_12	CL:0011005	CCN202002013	UBERON:0001384	Col25a1,Calb1,Cnr1,Epb41l4a,Syt6	Calb1,Epb41l4a,Syt6
AllenDend:CS202002013_137	CL:0011005	CCN202002013	UBERON:0001384		
AllenDend:CS202002013_13	CL:0011005	CCN202002013	UBERON:0001384	Col25a1,Cnr1,Rgs12,Npy2r	Npy2r,Rgs12
AllenDend:CS202002013_14	CL:0011005	CCN202002013	UBERON:0001384	Col25a1,Cnr1,Crh,Unc5b,Nectin3	Crh,Nectin3,Unc5b
AllenDend:CS202002013_138	CL:0011005	CCN202002013	UBERON:0001384	Vip	Vip
AllenDend:CS202002013_139	CL:0011005	CCN202002013	UBERON:0001384		
AllenDend:CS202002013_140	CL:0011005	CCN202002013	UBERON:0001384		
AllenDend:CS202002013_15	CL:0011005	CCN202002013	UBERON:0001384	Sfrp2,Rgs16,Vip	Rgs16,Sfrp2
AllenDend:CS202002013_16	CL:0011005	CCN202002013	UBERON:0001384	Col14a1,Pbx3,Vip,Ccn3	
AllenDend:CS202002013_17	CL:0011005	CCN202002013	UBERON:0001384	Plekhg1,Vip,Homer2,Ccn3,Enpp2	
AllenDend:CS202002013_141	CL:0011005	CCN202002013	UBERON:0001384		
AllenDend:CS202002013_142	CL:0011005	CCN202002013	UBERON:0001384		
AllenDend:CS202002013_143	CL:0011005	CCN202002013	UBERON:0001384		
AllenDend:CS202002013_18	CL:0011005	CCN202002013	UBERON:0001384	Vwc2l,Vip,Ccn3	
AllenDend:CS202002013_144	CL:0011005	CCN202002013	UBERON:0001384		
AllenDend:CS202002013_19	CL:0011005	CCN202002013	UBERON:0001384	Pbx3,Pde3a,Vip	Pbx3,Pde3a,Vip
AllenDend:CS202002013_20	CL:0011005	CCN202002013	UBERON:0001384	Btbd11,Bmper,Crh,Vip	Bmper,Btbd11,Crh,Vip
AllenDend:CS202002013_145	CL:0011005	CCN202002013	UBERON:0001384		
AllenDend:CS202002013_21	CL:0011005	CCN202002013	UBERON:0001384	5033421B08Rik,Htr3a,Vip	5033421B08Rik,Htr3a
AllenDend:CS202002013_146	CL:0011005	CCN202002013	UBERON:0001384		
AllenDend:CS202002013_147	CL:0011005	CCN202002013	UBERON:0001384		
AllenDend:CS202002013_22	CL:0011005	CCN202002013	UBERON:0001384	Vip,Gm2516,Calb2	Calb2,Gm2516
AllenDend:CS202002013_23	CL:0011005	CCN202002013	UBERON:0001384	Vip,Npy2r,Chat	Chat,Npy2r
AllenDend:CS202002013_148	CL:0011005	CCN202002013	UBERON:0001384		
AllenDend:CS202002013_24	CL:0011005	CCN202002013	UBERON:0001384	Caln1,Vip,Grm8	Caln1,Grm8
AllenDend:CS202002013_25	CL:0011005	CCN202002013	UBERON:0001384	Grik4,Htr4,Vip	Grik4,Htr4
AllenDend:CS202002013_149	CL:0011005	CCN202002013	UBERON:0001384		
AllenDend:CS202002013_26	CL:0011005	CCN202002013	UBERON:0001384	Thsd7a,Gm39185,Vip	Gm39185,Thsd7a
AllenDend:CS202002013_27	CL:0011005	CCN202002013	UBERON:0001384	Crh,Thsd7b,Vip	Crh,Thsd7b
AllenDend:CS202002013_150	CL:0011005	CCN202002013	UBERON:0001384		
AllenDend:CS202002013_28	CL:0011005	CCN202002013	UBERON:0001384	Nos1	Nos1
AllenDend:CS202002013_151	CL:0011005	CCN202002013	UBERON:0001384		
AllenDend:CS202002013_152	CL:0011005	CCN202002013	UBERON:0001384		
AllenDend:CS202002013_153	CL:0011005	CCN202002013	UBERON:0001384		
AllenDend:CS202002013_154	CL:0011005	CCN202002013	UBERON:0001384		
AllenDend:CS202002013_155	CL:0011005	CCN202002013	UBERON:0001384		
AllenDend:CS202002013_29	CL:0011005	CCN202002013	UBERON:0001384	Cartpt,Il1rapl2,9530026P05Rik	9530026P05Rik,Cartpt,Il1rapl2
AllenDend:CS202002013_30	CL:0011005	CCN202002013	UBERON:0001384	Il1rapl2,Reln	Il1rapl2,Reln
AllenDend:CS202002013_156	CL:0011005	CCN202002013	UBERON:0001384		
AllenDend:CS202002013_157	CL:0011005	CCN202002013	UBERON:0001384		
AllenDend:CS202002013_31	CL:0011005	CCN202002013	UBERON:0001384	Pld5,Cdh13,Sox6	Cdh13,Pld5,Sox6
AllenDend:CS202002013_32	CL:0011005	CCN202002013	UBERON:0001384	Grm1,Cdh9	Cdh9,Grm1
AllenDend:CS202002013_33	CL:0011005	CCN202002013	UBERON:0001384	Gm30835,Pdyn	Gm30835,Pdyn
AllenDend:CS202002013_158	CL:0011005	CCN202002013	UBERON:0001384		
AllenDend:CS202002013_159	CL:0011005	CCN202002013	UBERON:0001384		
AllenDend:CS202002013_34	CL:0011005	CCN202002013	UBERON:0001384	Trpc6,Col19a1,Fbn2	Col19a1,Fbn2,Trpc6
AllenDend:CS202002013_35	CL:0011005	CCN202002013	UBERON:0001384	Whrn,Edaradd,Spon1	Edaradd,Spon1,Whrn
AllenDend:CS202002013_160	CL:0011005	CCN202002013	UBERON:0001384		
AllenDend:CS202002013_161	CL:0011005	CCN202002013	UBERON:0001384		
AllenDend:CS202002013_36	CL:0011005	CCN202002013	UBERON:0001384	Nek7,Trpc6,Eya4	Eya4,Nek7,Trpc6
AllenDend:CS202002013_37	CL:0011005	CCN202002013	UBERON:0001384	Lypd6b,Trpc6	Lypd6b,Trpc6
AllenDend:CS202002013_162	CL:0011005	CCN202002013	UBERON:0001384		
AllenDend:CS202002013_163	CL:0011005	CCN202002013	UBERON:0001384		
AllenDend:CS202002013_38	CL:0011005	CCN202002013	UBERON:0001384	Hpse,Rerg	Hpse,Rerg
AllenDend:CS202002013_164	CL:0011005	CCN202002013	UBERON:0001384		
AllenDend:CS202002013_39	CL:0011005	CCN202002013	UBERON:0001384	Sst,Olfm3	Olfm3,Sst
AllenDend:CS202002013_40	CL:0011005	CCN202002013	UBERON:0001384	Trpc6,Gm49678	
AllenDend:CS202002013_41	CL:0011005	CCN202002013	UBERON:0001384	Moxd1,Prkg2	Moxd1,Prkg2
