ID	prefLabel	Synonyms_from_taxonomy	Curated_synonyms	Comment	Classification	Classification_comment	Classification_pub
ID	A skos:prefLabel	A oboInOwl:hasExactSynonym SPLIT='|'	A oboInOwl:hasExactSynonym SPLIT='|'	A rdfs:comment	SC %	>A rdfs:comment	>A oio:hasDbXref SPLIT='|'
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201908210_76		n1|All cells		cell_set_preferred_alias:'' ; original_label:n1 ; cell_set_label:All cells ; cell_set_aligned_alias:'' ; cell_set_additional_aliases:''			
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201908210_77	Neuronal	MTG 001-069|n2|Neuronal		cell_set_preferred_alias:Neuronal ; original_label:n2 ; cell_set_label:MTG 001-069 ; cell_set_aligned_alias:'' ; cell_set_additional_aliases:''			
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201908210_78	Inhibitory	n3|GABAergic|MTG 001-045|Inhibitory		cell_set_preferred_alias:Inhibitory ; original_label:n3 ; cell_set_label:MTG 001-045 ; cell_set_aligned_alias:GABAergic ; cell_set_additional_aliases:''			
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201908210_79	ADARB2 (CGE)	n4|MTG 001-027|ADARB2 (CGE)|CGE/PoA		cell_set_preferred_alias:ADARB2 (CGE) ; original_label:n4 ; cell_set_label:MTG 001-027 ; cell_set_aligned_alias:CGE/PoA ; cell_set_additional_aliases:''			
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201908210_80	LAMP5/PAX6	LAMP5/PAX6|n5|MTG 001-006		cell_set_preferred_alias:LAMP5/PAX6 ; original_label:n5 ; cell_set_label:MTG 001-006 ; cell_set_aligned_alias:'' ; cell_set_additional_aliases:''			
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201908210_81		n6|Pax6|MTG 001-002		cell_set_preferred_alias:'' ; original_label:n6 ; cell_set_label:MTG 001-002 ; cell_set_aligned_alias:Pax6 ; cell_set_additional_aliases:''			
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201908210_1	Inh L1-2 PAX6 CDH12	Inh L1-2 PAX6 CDH12|MTG 001		cell_set_preferred_alias:Inh L1-2 PAX6 CDH12 ; original_label:Inh L1-2 PAX6 CDH12 ; cell_set_label:MTG 001 ; cell_set_aligned_alias:'' ; cell_set_additional_aliases:''			
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201908210_2	Inh L1-2 PAX6 TNFAIP8L3	MTG 002|Inh L1-2 PAX6 TNFAIP8L3		cell_set_preferred_alias:Inh L1-2 PAX6 TNFAIP8L3 ; original_label:Inh L1-2 PAX6 TNFAIP8L3 ; cell_set_label:MTG 002 ; cell_set_aligned_alias:'' ; cell_set_additional_aliases:''			
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201908210_82		MTG 003-006|n7		cell_set_preferred_alias:'' ; original_label:n7 ; cell_set_label:MTG 003-006 ; cell_set_aligned_alias:'' ; cell_set_additional_aliases:''			
