ID	Label	PrefLabel	Synonyms	Exemplar	Classification	Comment	part of	part evidence comment	part evidence pub	part evidence dbxref	location	location evidence comment	location evidence pub	location evidence dbxref	has soma location	soma location evidence comment	soma location evidence pub	soma location evidence dbxref	cell morphology phenotype	cell morphology evidence comment	cell morphology evidence pub	cell morphology evidence dbxref	Class_type
ID	LABEL	A skos:prefLabel	A oboInOwl:has_exact_synonym	EC CL:0000003 and 'has_exemplar' value %	SC %	A rdfs:comment	SC 'part of' some %	>A rdfs:comment	>A dc:reference SPLIT='|'	>A oio:hasDbXref SPLIT='|'	SC 'located in' some %	>A rdfs:comment	>A dc:reference SPLIT='|'	>A oio:hasDbXref SPLIT='|'	SC 'has soma location' some %	>A rdfs:comment	>A dc:reference SPLIT='|'	>A oio:dbxref SPLIT='|'	SC 'bearer of' some %	>A rdfs:comment	>A dc:reference SPLIT='|'	>A oio:hasDbXref SPLIT='|'	
http://brain_data_standards/scratch_3f06f5e8-28da-11eb-a744-0242ac110002	All cells			AllenDend:CS201908211_44																			subclass
http://brain_data_standards/scratch_3f06f886-28da-11eb-a744-0242ac110002	HM 001-038			AllenDend:CS201908211_45																			subclass
http://brain_data_standards/scratch_3f06f9d0-28da-11eb-a744-0242ac110002	HM 001-035	Neuron		AllenDend:CS201908211_46																			subclass
http://brain_data_standards/scratch_3f06fade-28da-11eb-a744-0242ac110002	HM 001-034			AllenDend:CS201908211_47																			subclass
http://brain_data_standards/scratch_3f06fbec-28da-11eb-a744-0242ac110002	HM 001-033			AllenDend:CS201908211_48																			subclass
http://brain_data_standards/scratch_3f06fd18-28da-11eb-a744-0242ac110002	HM 001-020	GABAergic		AllenDend:CS201908211_49																			subclass
http://brain_data_standards/scratch_3f06fe76-28da-11eb-a744-0242ac110002	HM 001-011	CGE		AllenDend:CS201908211_50																			subclass
http://brain_data_standards/scratch_3f06ffc0-28da-11eb-a744-0242ac110002	HM 001-003	Lamp5		AllenDend:CS201908211_51																			subclass
http://brain_data_standards/scratch_3f07013c-28da-11eb-a744-0242ac110002	HM 001-002			AllenDend:CS201908211_52																			subclass
http://brain_data_standards/scratch_3f07027c-28da-11eb-a744-0242ac110002	HM 001	Lamp5 1		AllenDend:CS201908211_1																			subclass
http://brain_data_standards/scratch_3f0703e4-28da-11eb-a744-0242ac110002	HM 002	Lamp5 Rosehip		AllenDend:CS201908211_2																			subclass
http://brain_data_standards/scratch_3f0704c0-28da-11eb-a744-0242ac110002	HM 003	Lamp5 Lhx6		AllenDend:CS201908211_3																			subclass
http://brain_data_standards/scratch_3f0705f6-28da-11eb-a744-0242ac110002	HM 004-011	Vip		AllenDend:CS201908211_53																			subclass
http://brain_data_standards/scratch_3f0706f0-28da-11eb-a744-0242ac110002	HM 004-007			AllenDend:CS201908211_54																			subclass
http://brain_data_standards/scratch_3f0707d6-28da-11eb-a744-0242ac110002	HM 004	Pax6		AllenDend:CS201908211_4																			subclass
http://brain_data_standards/scratch_3f0708ee-28da-11eb-a744-0242ac110002	HM 005-007			AllenDend:CS201908211_55																			subclass
http://brain_data_standards/scratch_3f070a92-28da-11eb-a744-0242ac110002	HM 005-006			AllenDend:CS201908211_56																			subclass
http://brain_data_standards/scratch_3f070eb6-28da-11eb-a744-0242ac110002	HM 005	Lamp5 2		AllenDend:CS201908211_5																			subclass
http://brain_data_standards/scratch_3f071064-28da-11eb-a744-0242ac110002	HM 006	Vip Sncg		AllenDend:CS201908211_6																			subclass
http://brain_data_standards/scratch_3f071168-28da-11eb-a744-0242ac110002	HM 007	Vip 1		AllenDend:CS201908211_7																			subclass
http://brain_data_standards/scratch_3f07129e-28da-11eb-a744-0242ac110002	HM 008-011			AllenDend:CS201908211_57																			subclass
http://brain_data_standards/scratch_3f0713de-28da-11eb-a744-0242ac110002	HM 008	Vip 2		AllenDend:CS201908211_8																			subclass
http://brain_data_standards/scratch_3f07151e-28da-11eb-a744-0242ac110002	HM 009-011			AllenDend:CS201908211_58																			subclass
http://brain_data_standards/scratch_3f071640-28da-11eb-a744-0242ac110002	HM 009-010			AllenDend:CS201908211_59																			subclass
http://brain_data_standards/scratch_3f0716fe-28da-11eb-a744-0242ac110002	HM 009	Vip 3		AllenDend:CS201908211_9																			subclass
http://brain_data_standards/scratch_3f07183e-28da-11eb-a744-0242ac110002	HM 010	Vip 4		AllenDend:CS201908211_10																			subclass
http://brain_data_standards/scratch_3f07199c-28da-11eb-a744-0242ac110002	HM 011	Vip 5		AllenDend:CS201908211_11																			subclass
http://brain_data_standards/scratch_3f071adc-28da-11eb-a744-0242ac110002	HM 012-020	MGE		AllenDend:CS201908211_60																			subclass
http://brain_data_standards/scratch_3f071c12-28da-11eb-a744-0242ac110002	HM 012	Sst Chodl		AllenDend:CS201908211_12																			subclass
http://brain_data_standards/scratch_3f071cd0-28da-11eb-a744-0242ac110002	HM 013-020			AllenDend:CS201908211_61																			subclass
http://brain_data_standards/scratch_3f071dfc-28da-11eb-a744-0242ac110002	HM 013-017	Sst		AllenDend:CS201908211_62																			subclass
http://brain_data_standards/scratch_3f071f32-28da-11eb-a744-0242ac110002	HM 013-016			AllenDend:CS201908211_63																			subclass
http://brain_data_standards/scratch_3f07202c-28da-11eb-a744-0242ac110002	HM 013-014			AllenDend:CS201908211_64																			subclass
http://brain_data_standards/scratch_3f0720e0-28da-11eb-a744-0242ac110002	HM 013	Sst 2		AllenDend:CS201908211_13																			subclass
http://brain_data_standards/scratch_3f072194-28da-11eb-a744-0242ac110002	HM 014	Sst 3		AllenDend:CS201908211_14																			subclass
http://brain_data_standards/scratch_3f0722ca-28da-11eb-a744-0242ac110002	HM 015-016			AllenDend:CS201908211_65																			subclass
http://brain_data_standards/scratch_3f07240a-28da-11eb-a744-0242ac110002	HM 015	Sst 1		AllenDend:CS201908211_15																			subclass
