ID	Exemplar	Exemplar_SC
ID	EC CL:0000003 and 'has_exemplar' value %	SC 'has_exemplar' value %
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_124	AllenDend:CS202002013_124	AllenDend:CS202002013_124
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_125	AllenDend:CS202002013_125	AllenDend:CS202002013_125
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_1	AllenDend:CS202002013_1	AllenDend:CS202002013_1
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_2	AllenDend:CS202002013_2	AllenDend:CS202002013_2
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_128	AllenDend:CS202002013_128	AllenDend:CS202002013_128
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_3	AllenDend:CS202002013_3	AllenDend:CS202002013_3
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_4	AllenDend:CS202002013_4	AllenDend:CS202002013_4
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_130	AllenDend:CS202002013_130	AllenDend:CS202002013_130
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_5	AllenDend:CS202002013_5	AllenDend:CS202002013_5
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_6	AllenDend:CS202002013_6	AllenDend:CS202002013_6
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_7	AllenDend:CS202002013_7	AllenDend:CS202002013_7
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_8	AllenDend:CS202002013_8	AllenDend:CS202002013_8
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_133	AllenDend:CS202002013_133	AllenDend:CS202002013_133
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_134	AllenDend:CS202002013_134	AllenDend:CS202002013_134
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_9	AllenDend:CS202002013_9	AllenDend:CS202002013_9
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_10	AllenDend:CS202002013_10	AllenDend:CS202002013_10
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_11	AllenDend:CS202002013_11	AllenDend:CS202002013_11
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_12	AllenDend:CS202002013_12	AllenDend:CS202002013_12
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_13	AllenDend:CS202002013_13	AllenDend:CS202002013_13
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_14	AllenDend:CS202002013_14	AllenDend:CS202002013_14
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_138	AllenDend:CS202002013_138	AllenDend:CS202002013_138
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_139	AllenDend:CS202002013_139	AllenDend:CS202002013_139
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_15	AllenDend:CS202002013_15	AllenDend:CS202002013_15
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_16	AllenDend:CS202002013_16	AllenDend:CS202002013_16
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_17	AllenDend:CS202002013_17	AllenDend:CS202002013_17
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_143	AllenDend:CS202002013_143	AllenDend:CS202002013_143
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_18	AllenDend:CS202002013_18	AllenDend:CS202002013_18
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_19	AllenDend:CS202002013_19	AllenDend:CS202002013_19
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_20	AllenDend:CS202002013_20	AllenDend:CS202002013_20
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_21	AllenDend:CS202002013_21	AllenDend:CS202002013_21
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_22	AllenDend:CS202002013_22	AllenDend:CS202002013_22
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_23	AllenDend:CS202002013_23	AllenDend:CS202002013_23
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_24	AllenDend:CS202002013_24	AllenDend:CS202002013_24
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_25	AllenDend:CS202002013_25	AllenDend:CS202002013_25
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_149	AllenDend:CS202002013_149	AllenDend:CS202002013_149
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_26	AllenDend:CS202002013_26	AllenDend:CS202002013_26
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_27	AllenDend:CS202002013_27	AllenDend:CS202002013_27
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_150	AllenDend:CS202002013_150	AllenDend:CS202002013_150
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_28	AllenDend:CS202002013_28	AllenDend:CS202002013_28
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_29	AllenDend:CS202002013_29	AllenDend:CS202002013_29
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_30	AllenDend:CS202002013_30	AllenDend:CS202002013_30
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_156	AllenDend:CS202002013_156	AllenDend:CS202002013_156
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_31	AllenDend:CS202002013_31	AllenDend:CS202002013_31
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_32	AllenDend:CS202002013_32	AllenDend:CS202002013_32
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_33	AllenDend:CS202002013_33	AllenDend:CS202002013_33
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_159	AllenDend:CS202002013_159	AllenDend:CS202002013_159
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_34	AllenDend:CS202002013_34	AllenDend:CS202002013_34
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_35	AllenDend:CS202002013_35	AllenDend:CS202002013_35
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_161	AllenDend:CS202002013_161	AllenDend:CS202002013_161
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_36	AllenDend:CS202002013_36	AllenDend:CS202002013_36
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_37	AllenDend:CS202002013_37	AllenDend:CS202002013_37
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_38	AllenDend:CS202002013_38	AllenDend:CS202002013_38
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_164	AllenDend:CS202002013_164	AllenDend:CS202002013_164
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_39	AllenDend:CS202002013_39	AllenDend:CS202002013_39
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_40	AllenDend:CS202002013_40	AllenDend:CS202002013_40
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_41	AllenDend:CS202002013_41	AllenDend:CS202002013_41
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_165	AllenDend:CS202002013_165	AllenDend:CS202002013_165
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_42	AllenDend:CS202002013_42	AllenDend:CS202002013_42
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_43	AllenDend:CS202002013_43	AllenDend:CS202002013_43
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_44	AllenDend:CS202002013_44	AllenDend:CS202002013_44
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_45	AllenDend:CS202002013_45	AllenDend:CS202002013_45
