ID	TYPE	NAME	SYNONYMS
ID	SC %	A rdfs:label	A oboInOwl:hasExactSynonym SPLIT=|
ensembl:ENSMUSG00000051951	SO:0000704	Xkr4 (Mmus)	Gm210|XK-related protein 4|XRG4|X Kell blood group precursor related family member 4|AY534250|mKIAA1889
ensembl:ENSMUSG00000089699	SO:0000704	Gm1992 (Mmus)	
ensembl:ENSMUSG00000102343	SO:0000704	Gm37381 (Mmus)	
ensembl:ENSMUSG00000025900	SO:0000704	Rp1 (Mmus)	mG145|Gm38717|Orp1|lipoxygenase homology domain-containing protein 1|retinitis pigmentosa 1 homolog|retinitis pigmentosa RP1 protein homolog|Rp1h|oxygen-regulated protein 1|Dcdc3
ensembl:ENSMUSG00000025902	SO:0000704	Sox17 (Mmus)	SRY-box containing gene 17|transcription factor SOX-17
ensembl:ENSMUSG00000104328	SO:0000704	Gm37323 (Mmus)	
ensembl:ENSMUSG00000033845	SO:0000704	Mrpl15 (Mmus)	39S ribosomal protein L15, mitochondrial|MRP-L7|L15mt|HSPC145|Rpml7|ribosomal protein, mitochondrial, L7|MRP-L15
ensembl:ENSMUSG00000025903	SO:0000704	Lypla1 (Mmus)	palmitoyl-protein hydrolase|LPL-I|Pla1a|APT-1|lysophospholipase I|phospholipase 1a|lysoPLA I|lysophopholipase 1|acyl-protein thioesterase 1|Gm39587
ensembl:ENSMUSG00000104217	SO:0000704	Gm37988 (Mmus)	
ensembl:ENSMUSG00000033813	SO:0000704	Tcea1 (Mmus)	transcription elongation factor TFIIS.o|transcription elongation factor A protein 1|S-II|transcription elongation factor S-II protein 1
ensembl:ENSMUSG00000002459	SO:0000704	Rgs20 (Mmus)	regulator of G-protein signaling Z1|Rgsz1|2900073E09Rik|regulator of G-protein signaling 20
ensembl:ENSMUSG00000085623	SO:0000704	Gm16041 (Mmus)	
ensembl:ENSMUSG00000033793	SO:0000704	Atp6v1h (Mmus)	vacuolar ATPase subunit H|SFDalpha|vacuolar proton pump subunit H|0710001F19Rik|AU022349|VMA13|SFD|CGI-11|V-ATPase subunit H|ATPase, H+ transporting, lysosomal 50/57kDa, V1 subunit H|SFDbeta|vacuolar proton pump H subunit|vacuolar ATP synthase subunit H|H+ transporting ATPase lysosomal V1 subunit H|V-ATPase H subunit|V-type proton ATPase subunit H
